"gene","logFoldChange"
"Bradi1g21466.1",6.49368293705998
"Bradi3g35840.1",6.40261896791231
"Bradi4g43050.3",-3.62555340938304
"Bradi3g09120.1",2.85273311590036
"Bradi5g09920.2",-2.21110650656331
"Bradi3g38140.1",-4.40289230068489
"Bradi4g09430.1",7.06795173937133
"Bradi3g24650.1",-8.46361393868898
"Bradi1g09487.1",10.6220165402332
"Bradi1g09177.1",-2.41995346732288
"Bradi1g58491.1",4.42704602129402
"Bradi3g09034.1",9.97074868675308
"Bradi5g12617.1",-2.32629513467683
"Bradi3g21730.2",2.73127540144286
"Bradi2g54090.5",6.78228705413812
"Bradi3g09032.1",9.47622458486226
"Bradi1g20950.1",3.50049746459456
"Bradi1g65433.2",9.58628299361176
"Bradi2g35450.1",1.91126854665891
"Bradi2g54400.2",-2.74767079210455
"Bradi4g41616.1",4.70751989475885
"Bradi2g57470.1",-1.8339478534785
"Bradi3g16515.1",-2.28253048682103
"Bradi1g59587.1",-7.94501379516596
"Bradi4g16620.5",2.87820768312109
"Bradi3g52307.1",-1.66150806337647
"Bradi1g36774.1",8.48021792765481
"Bradi2g15360.1",2.20661529043798
"Bradi4g16970.1",2.05260809399098
"Bradi4g44460.3",1.28006031240045
"Bradi3g13633.1",3.24468236210948
"Bradi1g24960.4",1.64931991964776
"Bradi2g09550.2",1.55853600625711
"Bradi4g05620.1",4.22098467775081
"Bradi1g49920.1",2.77060179146673
"Bradi3g07385.1",1.44312091878293
"Bradi1g68887.1",2.11607213431621
"Bradi4g13670.1",1.7143320755078
"Bradi4g35780.3",-2.21329698305487
"Bradi4g04662.2",2.12448283301191
"Bradi5g05110.1",-2.43317112521726
"Bradi3g08690.2",-1.34049057147685
"Bradi3g02600.4",-1.47086920922252
"Bradi5g01900.1",1.30031505830162
"Bradi3g58341.1",-2.4549427338563
"Bradi4g13580.1",3.07300408171761
"Bradi2g08730.1",8.07389693149293
"Bradi1g19220.2",-1.43238127694775
"Bradi1g44170.1",-2.68118767863333
"Bradi1g68373.1",2.0458696599915
"Bradi2g16120.1",-1.60889595847596
"Bradi4g42540.1",-2.31837778956519
"Bradi4g00530.1",1.23465596012098
"Bradi1g65590.1",2.61558641115445
"Bradi2g08707.1",1.66904035556062
"Bradi2g16261.7",7.68436625903731
"Bradi2g23797.4",-2.58556763975064
"Bradi2g33417.1",2.53627252630305
"Bradi3g03900.3",2.67376768875894
"Bradi1g05100.2",-2.06000137786806
"Bradi2g54340.1",-1.50756733538345
"Bradi1g03510.1",3.70553584436368
"Bradi2g05802.2",-4.21616037066882
"Bradi1g69710.1",1.6886672571925
"Bradi5g24227.1",-1.2777874760385
"Bradi3g49410.3",2.69403198048345
"Bradi1g60846.9",-2.04377004789643
"Bradi1g21880.1",-2.22734817207105
"Bradi5g26567.1",-1.37867814871644
"Bradi2g56145.1",4.08161517588364
"Bradi5g16320.8",-1.1846809874296
"Bradi5g24460.1",-1.5283711464648
"Bradi1g23350.1",-1.08766894241666
"Bradi5g17500.4",-1.33912244614259
"Bradi1g17870.3",1.62280506243976
"Bradi1g46470.1",-1.80973579634867
"Bradi5g19380.1",1.0908597256332
"Bradi1g17430.1",1.48498987288334
"Bradi3g51610.1",-3.12553065958845
"Bradi5g09880.5",-1.78935682274608
"Bradi1g54650.2",-1.66509361599898
"Bradi5g19680.1",-2.51471997071068
"Bradi3g58010.1",7.54575459947504
"Bradi3g23190.1",-2.07345763791588
"Bradi1g11680.3",1.83376234913826
"Bradi1g68210.4",-1.1598704131918
"Bradi4g29360.1",-1.93599336803478
"Bradi3g03957.3",0.976732555736285
"Bradi1g50140.1",-1.30822372442204
"Bradi2g08120.4",1.51242341571947
"Bradi2g14970.4",-0.873945619848702
"Bradi3g19730.4",3.01669224339553
"Bradi2g19270.1",1.84084444170993
"Bradi3g04730.6",1.00407289069844
"Bradi2g58091.1",2.15244346797355
"Bradi3g37130.4",1.41248552329396
"Bradi3g58670.1",1.67326685757536
"Bradi1g19470.1",2.80388700175894
"Bradi3g02257.2",-6.57453440007674
"Bradi3g58620.1",-2.02934082990766
"Bradi3g17287.1",1.7005470172951
"Bradi3g33957.2",2.03211295561807
"Bradi5g11750.1",-1.17054473951639
"Bradi1g25517.1",4.88093618439961
"Bradi3g58630.1",-2.78403846676466
"Bradi2g38970.1",0.81462718006975
"Bradi4g31430.1",-1.71381931315211
"Bradi3g03597.1",1.30068746096769
"Bradi2g53260.1",1.75304707707266
"Bradi4g28280.1",-1.59722937475514
"Bradi1g12810.2",-1.05218961083583
"Bradi1g62660.1",1.29327546286775
"Bradi4g13920.1",2.02857394263914
"Bradi3g43910.2",1.63716301482677
"Bradi3g59260.1",-2.45337894055202
"Bradi3g13670.1",-1.4672909220361
"Bradi4g36077.3",-1.39712413259372
"Bradi5g22820.1",1.67392834587749
"Bradi3g35700.1",2.14414868702148
"Bradi1g70920.1",-1.58108930622029
"Bradi1g77040.1",1.27671527790499
"Bradi4g39920.1",1.13164730255481
"Bradi2g25527.12",1.41976236431458
"Bradi5g27687.1",2.16300565668866
"Bradi1g60810.1",-5.42619192740833
"Bradi3g38410.1",-1.23217284484312
"Bradi2g35080.1",1.27457199259415
"Bradi2g62510.3",1.18176329577129
"Bradi5g18590.1",1.86954931994841
"Bradi2g27880.1",1.10113692349558
"Bradi1g21490.1",0.896099886305826
"Bradi5g16410.1",1.83440468623659
"Bradi5g26725.3",-1.99381451868025
"Bradi2g41100.3",1.69903817943607
"Bradi2g55120.1",-1.08716916414764
"Bradi2g44360.3",1.80673214995505
"Bradi2g56810.1",-0.926217792517068
"Bradi1g78800.2",1.5584671218382
"Bradi3g52505.2",-2.27206435669903
"Bradi5g14320.5",-1.45061552283124
"Bradi3g45250.1",-2.88385389667213
"Bradi2g23870.1",2.00257888009308
"Bradi3g59760.1",-1.3907407395629
"Bradi2g26770.1",1.3156333533011
"Bradi3g10598.1",2.32464272932286
"Bradi1g21580.3",1.31485592782488
"Bradi3g40745.4",-6.34811474830292
"Bradi4g35650.1",-2.03323968177143
"Bradi3g60360.1",-1.37487503124663
"Bradi3g36540.1",2.02178633244105
"Bradi3g14490.1",1.68751238517569
"Bradi3g52790.2",1.11714292326977
"Bradi5g19734.1",-3.11115636490889
"Bradi4g09656.1",4.20547402481587
"Bradi2g60765.3",1.26127893944563
"Bradi1g63270.3",-1.37200899494266
"Bradi2g27300.1",-1.86382497947316
"Bradi4g45010.1",3.18181642601889
"Bradi2g53580.1",1.10140176593741
"Bradi4g09490.4",1.38985179622616
"Bradi1g52292.1",0.898000946870592
"Bradi4g15010.1",-1.65087958407168
