"gene","logFoldChange"
"Bradi4g41560.1",-10.4277458578994
"Bradi1g21466.1",7.00277899105896
"Bradi1g09177.1",-3.92786981892822
"Bradi5g03752.2",3.01212015801292
"Bradi3g38140.1",-6.22486318596646
"Bradi2g54400.2",-4.61138388296724
"Bradi1g49920.1",4.59274527025093
"Bradi3g04493.1",3.49842812031763
"Bradi4g43050.3",-3.69623667647011
"Bradi5g24227.1",-2.2164299046073
"Bradi5g25730.1",-1.56554287009732
"Bradi5g17500.4",-2.26371998803133
"Bradi4g36077.3",-2.66214217262881
"Bradi3g35840.1",4.94710811802798
"Bradi3g08690.2",-2.01315541878245
"Bradi4g09430.1",7.13803899642194
"Bradi3g09120.1",2.67226377391489
"Bradi3g16515.1",-2.85449585449573
"Bradi1g23350.1",-1.6887453222074
"Bradi3g60360.1",-2.5564576429125
"Bradi1g09487.1",10.7449948192848
"Bradi3g03900.3",4.00242221448862
"Bradi5g05110.1",-3.28591089515623
"Bradi1g17430.1",2.25138133015826
"Bradi4g45010.1",5.61844591917414
"Bradi1g74350.3",-2.68005406473686
"Bradi2g54090.5",7.02773555899584
"Bradi3g23190.1",-3.06197654005315
"Bradi4g31430.1",-2.64601600459914
"Bradi3g09034.1",9.52185569683806
"Bradi3g13670.1",-2.26849696105401
"Bradi2g36480.1",-1.21505764830804
"Bradi4g09417.1",4.65778089473837
"Bradi1g60846.9",-2.75530412493785
"Bradi1g03510.1",4.74846508647429
"Bradi4g16620.5",3.05357589009779
"Bradi5g11840.1",-1.43706576466359
"Bradi1g63270.3",-2.13965094438262
"Bradi3g02600.4",-1.72096541296864
"Bradi2g35850.1",-2.49591280924831
"Bradi2g13610.4",-1.94270748639551
"Bradi4g35650.1",-3.09450261788038
"Bradi5g11750.1",-1.61358589394604
"Bradi2g46240.6",-1.57834714571445
"Bradi1g34850.1",2.08119558670675
"Bradi4g23307.1",4.45190124433061
"Bradi4g02570.1",-2.77086650033265
"Bradi1g19220.2",-1.66502914296979
"Bradi1g36774.1",8.71321931003911
"Bradi4g44460.3",1.33124766440996
"Bradi1g37290.4",-1.61939885680648
"Bradi2g54340.1",-1.81824264484917
"Bradi4g05620.1",4.44446336294722
"Bradi2g61500.4",-1.55892667709757
"Bradi1g46470.1",-2.21874655857443
"Bradi1g27867.1",1.2848156869887
"Bradi1g29590.2",-1.12928909488511
"Bradi3g47550.1",-1.33139189252445
"Bradi1g04620.1",-1.72230127496441
"Bradi5g14320.5",-2.07213689897784
"Bradi2g02310.1",-2.68361794749684
"Bradi1g27920.1",2.50415012196242
"Bradi4g29360.1",-2.42019793476348
"Bradi2g16337.6",-1.53918291157572
"Bradi4g35780.3",-2.27458667724246
"Bradi3g09032.1",8.39492839979257
"Bradi1g65540.2",3.310815252504
"Bradi2g23797.4",-2.90499344875337
"Bradi4g04662.2",2.18578156089666
"Bradi3g51610.1",-3.68221543767879
"Bradi1g78250.1",1.59995943643245
"Bradi1g29680.1",-2.4044603554325
"Bradi2g16120.1",-1.73778915407519
"Bradi2g09550.2",1.51035577194001
"Bradi4g10560.1",-1.91322375643553
"Bradi3g21730.2",2.22297953544991
"Bradi3g47010.3",-1.89972780688464
"Bradi2g58440.1",-1.59871723302889
"Bradi1g68210.4",-1.38769127627797
"Bradi3g07385.1",1.39332704915318
"Bradi1g20950.1",2.96266166602302
"Bradi1g72590.1",-1.89406819096496
"Bradi2g16290.1",-1.83047976447813
