HJ8s_33_S1 HJ28s_17_S3 HJ35_22s_34 HJ100s_26_S5 HJ154s_28_S6 HJ170s_35_S7 HJ172s_31_S8 HJ183s_32_S9
Bradi0180s00100.1 0 0 0 0 0 0 0 0
Bradi1g00200.1 0 0 0 0 0 0 0 0
Bradi1g00210.3 266.102 245.643 29.222 99.67 438.104 333.983 191.28 236.389
Bradi1g00213.1 0 2 0 0 0 0 0 0
Bradi1g00215.1 0 0 0 0 0 0 0 0
Bradi1g00219.2 56 46 4 12 72 31 28 49.991
Bradi1g00222.2 19.079 38.25 14.182 24.373 96.958 22.074 41.468 33.066
Bradi1g00234.1 93 116 3 59 156 55.998 40.709 104
Bradi1g00247.3 86.26 104.998 27 63.999 235.65 249.57 91.998 131.231
Bradi1g00260.2 257.019 201.617 54.002 150.588 430.849 171.037 167.812 237.656
Bradi1g00267.1 39.226 61.247 2 24 82.322 37.671 42.129 27.012
Bradi1g00272.1 0 0 0 0 0 0 0 0
Bradi1g00278.1 11 8.73 1 4 14.036 2 1 11.997
Bradi1g00282.1 496 273.95 31 330 631.995 299 214 397.115
Bradi1g00300.1 0 0 0 0 0 7 2.997 1
Bradi1g00307.1 0 10 1 1 6 11 4 10
Bradi1g00314.1 0 0 0 6 0 0 0 1
Bradi1g00322.2 0 0 0 0 0 0 0 0
Bradi1g00330.2 24 11 4 2 50 9 30 8
Bradi1g00331.1 10 1 10 0 7 10 0 6
Bradi1g00332.1 0 1 0 4 0 3 1 9
Bradi1g00341.1 41 65 14 24 108 155 61 106
Bradi1g00347.1 55 39 0 10 31 6 7 25
Bradi1g00361.1 13 0 4.91 1 0 1.592 0 0
Bradi1g00362.1 0 10 2.09 0 7 3.408 4 8
Bradi1g00363.1 0 2 1 0 0 1 0 0
Bradi1g00365.1 0 1 0 2 7 0 0 0
Bradi1g00368.1 16 7 0 9 15 7 2 22
Bradi1g00370.1 479.488 174.002 74.261 190.284 376.079 257.744 71.159 255.504
Bradi1g00381.1 0 0 4 3 0 1 0 0
Bradi1g00382.1 87 81 47 67 158 93 29 57
Bradi1g00383.1 0 5 1 8 5 2 0 0
Bradi1g00387.1 0 0 0 0 3 4 0 0
Bradi1g00400.3 0 0 0 0 0 0 0 0
Bradi1g00405.1 0 0 0 0 0 0 0 0
Bradi1g00410.1 387 224 57 211 630 303 157 202
Bradi1g00412.1 0 0 0 0 0 0 0 0
Bradi1g00413.2 0 0 0 0 0 0 0 0
Bradi1g00417.1 54.513 65.014 8.613 51.443 24.393 83.964 20.872 12.206
Bradi1g00427.2 51.117 46.878 26.892 54.571 106.752 95.245 26.268 4.906
Bradi1g00438.1 0 0 0 0 0 0 0 0
Bradi1g00450.3 1652.52 1214.435 115.409 688.242 2335.857 1051.6 626.802 911.62
Bradi1g00460.1 436 272 59 270 616 284 345 308
Bradi1g00470.2 1391.984 1411.997 182.999 812.956 2911.998 1287 795 883
Bradi1g00480.4 1248.016 846.003 174.001 753.044 2001.002 926 734 1016
Bradi1g00482.1 0 0 0 0 1 0 5 5
Bradi1g00485.4 50 45 3 18 76 38 14 43
