"Bradi0012s00100.1"	"GO:0003746;GO:0003924;GO:0005525;GO:0005737;GO:0006414"
"Bradi0012s00201.1"	"unknown"
"Bradi0014s00100.1"	"GO:0043531"
"Bradi1g00210.3"	"GO:0005515"
"Bradi1g00219.2"	"unknown"
"Bradi1g00222.2"	"unknown"
"Bradi1g00234.1"	"GO:0043531"
"Bradi1g00247.3"	"unknown"
"Bradi1g00260.2"	"GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468"
"Bradi1g00267.1"	"GO:0004672;GO:0005524;GO:0006468"
"Bradi1g00282.1"	"unknown"
"Bradi1g00330.2"	"unknown"
"Bradi1g00341.1"	"unknown"
"Bradi1g00347.1"	"GO:0000166"
"Bradi1g00370.1"	"unknown"
"Bradi1g00382.1"	"unknown"
"Bradi1g00410.1"	"unknown"
"Bradi1g00417.1"	"GO:0003824;GO:0005515"
"Bradi1g00427.2"	"GO:0003676;GO:0003677;GO:0004003;GO:0005524;GO:0005634;GO:0006139;GO:0006289;GO:0008026;GO:0016818"
"Bradi1g00450.3"	"unknown"
"Bradi1g00460.1"	"GO:0005524;GO:0016020;GO:0016887"
"Bradi1g00470.2"	"GO:0005515"
"Bradi1g00480.4"	"unknown"
"Bradi1g00485.4"	"unknown"
"Bradi1g00491.3"	"GO:0005515"
"Bradi1g00497.1"	"GO:0005515"
"Bradi1g00510.10"	"GO:0003677;GO:0003729;GO:0005685;GO:0006302;GO:0006310;GO:0006376"
"Bradi1g00517.14"	"GO:0000166;GO:0003676"
"Bradi1g00530.1"	"unknown"
"Bradi1g00540.1"	"GO:0030001;GO:0046872"
"Bradi1g00560.6"	"unknown"
"Bradi1g00563.2"	"unknown"
"Bradi1g00567.3"	"GO:0005515"
"Bradi1g00580.3"	"GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468"
"Bradi1g00587.6"	"GO:0004499;GO:0050660;GO:0050661;GO:0055114"
"Bradi1g00620.1"	"unknown"
"Bradi1g00630.1"	"unknown"
"Bradi1g00642.3"	"unknown"
"Bradi1g00666.2"	"GO:0003677;GO:0003700;GO:0006355"
"Bradi1g00678.1"	"unknown"
"Bradi1g00690.2"	"GO:0016787"
"Bradi1g00700.8"	"GO:0005315;GO:0006817;GO:0016021;GO:0055085"
"Bradi1g00710.1"	"unknown"
"Bradi1g00720.2"	"unknown"
"Bradi1g00730.1"	"GO:0005524;GO:0005737;GO:0042026"
"Bradi1g00740.1"	"unknown"
"Bradi1g00750.1"	"GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987"
"Bradi1g00760.1"	"GO:0005524;GO:0016020;GO:0016887"
"Bradi1g00770.1"	"GO:0030001;GO:0046872"
"Bradi1g00780.2"	"GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085"
"Bradi1g00790.2"	"GO:0016788"
"Bradi1g00807.1"	"GO:0016788"
"Bradi1g00820.2"	"unknown"
"Bradi1g00830.1"	"unknown"
"Bradi1g00840.1"	"unknown"
"Bradi1g00847.1"	"GO:0005515"
"Bradi1g00860.3"	"GO:0016798"
"Bradi1g00880.1"	"GO:0009772;GO:0019684;GO:0045156"
"Bradi1g00887.2"	"GO:0005488;GO:0006886;GO:0008536"
"Bradi1g00900.7"	"unknown"
"Bradi1g00910.3"	"GO:0008270"
"Bradi1g00920.1"	"unknown"
"Bradi1g00931.1"	"unknown"
"Bradi1g00940.1"	"unknown"
"Bradi1g00950.1"	"GO:0016491;GO:0055114"
"Bradi1g00960.3"	"GO:0043531"
"Bradi1g00970.1"	"unknown"
"Bradi1g00980.3"	"GO:0010181;GO:0016491;GO:0044238;GO:0055114"
"Bradi1g00990.1"	"unknown"
"Bradi1g01000.1"	"GO:0006633"
"Bradi1g01007.1"	"GO:0000723;GO:0003677;GO:0003684;GO:0004003;GO:0005634;GO:0006303;GO:0006310;GO:0016817;GO:0042162;GO:0043564"
"Bradi1g01014.1"	"GO:0006810"
"Bradi1g01021.1"	"GO:0005515"
"Bradi1g01047.1"	"unknown"
"Bradi1g01058.4"	"GO:0003700;GO:0006355;GO:0043565"
"Bradi1g01070.1"	"unknown"
"Bradi1g01080.1"	"unknown"
"Bradi1g01090.1"	"GO:0005096"
"Bradi1g01100.1"	"unknown"
"Bradi1g01110.1"	"GO:0000166;GO:0003676"
"Bradi1g01120.1"	"GO:0003723;GO:0004525;GO:0006396"
"Bradi1g01130.2"	"GO:0003700;GO:0005634;GO:0006355;GO:0043565"
"Bradi1g01140.1"	"unknown"
"Bradi1g01150.1"	"GO:0004553;GO:0005618;GO:0005975;GO:0006073;GO:0010411;GO:0016762;GO:0042546;GO:0048046"
"Bradi1g01170.9"	"GO:0003950;GO:0010181;GO:0016491;GO:0055114"
"Bradi1g01180.1"	"GO:0005524;GO:0016887"
"Bradi1g01190.1"	"GO:0003824;GO:0008152;GO:0016788"
"Bradi1g01200.1"	"unknown"
"Bradi1g01210.2"	"unknown"
"Bradi1g01220.3"	"unknown"
"Bradi1g01227.1"	"unknown"
"Bradi1g01250.4"	"GO:0003676;GO:0008270;GO:0043531"
"Bradi1g01257.1"	"GO:0043531"
"Bradi1g01270.3"	"unknown"
"Bradi1g01280.1"	"GO:0005515"
"Bradi1g01290.1"	"unknown"
"Bradi1g01300.1"	"GO:0046982"
"Bradi1g01310.1"	"unknown"
"Bradi1g01320.1"	"unknown"
"Bradi1g01330.3"	"unknown"
"Bradi1g01363.1"	"GO:0005515"
"Bradi1g01380.2"	"GO:0043531"
"Bradi1g01387.5"	"GO:0043531"
"Bradi1g01397.2"	"GO:0003677;GO:0003917;GO:0005694;GO:0006265;GO:0043531"
"Bradi1g01407.2"	"GO:0043531"
"Bradi1g01420.1"	"GO:0005524"
"Bradi1g01427.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g01434.1"	"GO:0005515"
"Bradi1g01442.2"	"GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468"
"Bradi1g01460.1"	"GO:0004592;GO:0015940"
"Bradi1g01470.1"	"GO:0005515"
"Bradi1g01480.1"	"GO:0005515"
"Bradi1g01487.1"	"GO:0005515"
"Bradi1g01500.1"	"unknown"
"Bradi1g01507.1"	"GO:0006457;GO:0031072;GO:0051082"
"Bradi1g01530.1"	"unknown"
"Bradi1g01546.1"	"unknown"
"Bradi1g01560.2"	"GO:0005515"
"Bradi1g01570.1"	"GO:0009055;GO:0015035;GO:0045454"
"Bradi1g01580.1"	"GO:0003746;GO:0003924;GO:0005525;GO:0005622;GO:0006414"
"Bradi1g01600.1"	"GO:0004611;GO:0005506;GO:0006094;GO:0009055;GO:0017076;GO:0020037;GO:0022900"
"Bradi1g01610.1"	"GO:0009055"
"Bradi1g01620.1"	"unknown"
"Bradi1g01630.1"	"unknown"
"Bradi1g01640.2"	"GO:0003677;GO:0006355"
"Bradi1g01660.1"	"unknown"
"Bradi1g01670.1"	"GO:0000775;GO:0007067"
"Bradi1g01694.1"	"unknown"
"Bradi1g01696.1"	"unknown"
"Bradi1g01710.1"	"GO:0005885;GO:0015629;GO:0030041;GO:0034314"
"Bradi1g01720.1"	"GO:0005783;GO:0006886;GO:0016021"
"Bradi1g01730.1"	"unknown"
"Bradi1g01740.1"	"GO:0007030;GO:0015031;GO:0016020"
"Bradi1g01750.1"	"unknown"
"Bradi1g01760.1"	"unknown"
"Bradi1g01770.3"	"GO:0055085"
"Bradi1g01780.1"	"GO:0008152;GO:0016491"
"Bradi1g01790.2"	"GO:0005515"
"Bradi1g01800.4"	"GO:0004072;GO:0008152;GO:0008652;GO:0016597"
"Bradi1g01802.1"	"unknown"
"Bradi1g01810.8"	"GO:0003824;GO:0009058;GO:0030170"
"Bradi1g01820.1"	"unknown"
"Bradi1g01830.6"	"unknown"
"Bradi1g01840.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g01847.2"	"GO:0003824;GO:0008152;GO:0016705;GO:0055114"
"Bradi1g01870.2"	"unknown"
"Bradi1g01880.1"	"GO:0003676"
"Bradi1g01890.1"	"unknown"
"Bradi1g01900.1"	"GO:0016021;GO:0051205"
"Bradi1g01920.1"	"GO:0016788"
"Bradi1g01930.3"	"GO:0000159;GO:0003677;GO:0005488;GO:0007165;GO:0008601"
"Bradi1g01936.4"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g01947.1"	"GO:0004649;GO:0005975"
"Bradi1g01948.1"	"GO:0004649;GO:0005975"
"Bradi1g01949.1"	"unknown"
"Bradi1g01965.1"	"unknown"
"Bradi1g01970.1"	"GO:0005515"
"Bradi1g01980.1"	"GO:0004649;GO:0005975"
"Bradi1g01985.7"	"GO:0005515"
"Bradi1g01990.6"	"GO:0006355;GO:0008270"
"Bradi1g02000.2"	"GO:0006813;GO:0008324"
"Bradi1g02010.1"	"unknown"
"Bradi1g02020.1"	"GO:0003729;GO:0005506;GO:0005685;GO:0006376;GO:0009055;GO:0020037;GO:0022900"
"Bradi1g02030.1"	"GO:0003735;GO:0005840;GO:0006412;GO:0019843"
"Bradi1g02050.6"	"GO:0005515"
"Bradi1g02060.1"	"unknown"
"Bradi1g02080.1"	"unknown"
"Bradi1g02090.2"	"GO:0009269"
"Bradi1g02100.1"	"GO:0003924;GO:0005525;GO:0005622;GO:0006886;GO:0006913;GO:0007165;GO:0007264;GO:0015031;GO:0016020"
"Bradi1g02117.1"	"unknown"
"Bradi1g02130.4"	"unknown"
"Bradi1g02138.1"	"unknown"
"Bradi1g02145.3"	"GO:0005515"
"Bradi1g02150.1"	"GO:0016491;GO:0055114"
"Bradi1g02160.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g02170.1"	"GO:0016020"
"Bradi1g02180.1"	"GO:0005515"
"Bradi1g02210.1"	"GO:0004672;GO:0004713;GO:0005509;GO:0005515;GO:0005524;GO:0006468;GO:0030247"
"Bradi1g02220.2"	"unknown"
"Bradi1g02230.1"	"GO:0005515"
"Bradi1g02247.5"	"GO:0006281;GO:0006310;GO:0009378"
"Bradi1g02260.1"	"unknown"
"Bradi1g02270.1"	"GO:0005515"
"Bradi1g02273.1"	"unknown"
"Bradi1g02280.3"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g02290.1"	"GO:0004672;GO:0004713;GO:0005509;GO:0005524;GO:0006468;GO:0030247"
"Bradi1g02300.1"	"unknown"
"Bradi1g02303.1"	"GO:0005524;GO:0006457;GO:0006950;GO:0051082"
"Bradi1g02310.7"	"GO:0005515"
"Bradi1g02327.1"	"GO:0003700;GO:0006355;GO:0043565"
"Bradi1g02350.2"	"GO:0008270;GO:0016491;GO:0055114"
"Bradi1g02370.1"	"GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085"
"Bradi1g02380.1"	"GO:0004497;GO:0006744;GO:0016709;GO:0050660;GO:0055114;GO:0071949"
"Bradi1g02390.1"	"GO:0005515;GO:0008270"
"Bradi1g02400.4"	"GO:0003690;GO:0005739;GO:0006355"
"Bradi1g02420.1"	"GO:0008519;GO:0015696;GO:0016020;GO:0072488"
"Bradi1g02440.1"	"GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468;GO:0048544"
"Bradi1g02450.3"	"unknown"
"Bradi1g02460.1"	"GO:0003677;GO:0005634;GO:0006302;GO:0006310"
"Bradi1g02480.1"	"GO:0003676;GO:0008270"
"Bradi1g02490.1"	"GO:0004514;GO:0004516;GO:0009435;GO:0019358"
"Bradi1g02505.1"	"unknown"
"Bradi1g02510.3"	"GO:0005515;GO:0008270;GO:0016020;GO:0016760;GO:0030244"
"Bradi1g02517.2"	"unknown"
"Bradi1g02530.1"	"GO:0008152;GO:0016787"
"Bradi1g02535.1"	"GO:0005515"
"Bradi1g02540.1"	"unknown"
"Bradi1g02550.1"	"GO:0009523;GO:0009654;GO:0015979;GO:0016020"
"Bradi1g02560.1"	"unknown"
"Bradi1g02570.2"	"GO:0000166;GO:0003676;GO:0008270"
"Bradi1g02580.2"	"unknown"
"Bradi1g02590.2"	"GO:0009055;GO:0022900;GO:0051536;GO:0051537"
"Bradi1g02597.1"	"GO:0000062;GO:0005515"
"Bradi1g02610.1"	"GO:0005515"
"Bradi1g02621.1"	"GO:0003677;GO:0003899;GO:0005634;GO:0006351;GO:0008270"
"Bradi1g02630.1"	"GO:0009055;GO:0050660"
"Bradi1g02635.1"	"unknown"
"Bradi1g02640.1"	"GO:0003676;GO:0003677;GO:0006355;GO:0008270"
"Bradi1g02650.1"	"GO:0003676;GO:0003677;GO:0006355;GO:0008270"
"Bradi1g02680.2"	"GO:0005525;GO:0016817"
"Bradi1g02690.1"	"GO:0008152;GO:0016787"
"Bradi1g02697.1"	"GO:0003677;GO:0003824;GO:0004518;GO:0006281"
"Bradi1g02710.1"	"GO:0003824;GO:0008270"
"Bradi1g02720.4"	"unknown"
"Bradi1g02730.1"	"GO:0003824;GO:0005730;GO:0006396;GO:0042254"
"Bradi1g02740.1"	"GO:0003824;GO:0005730;GO:0006396;GO:0042254"
"Bradi1g02750.1"	"unknown"
"Bradi1g02760.1"	"GO:0003677;GO:0005634"
"Bradi1g02770.1"	"unknown"
"Bradi1g02780.1"	"GO:0008033;GO:0008168"
"Bradi1g02800.2"	"unknown"
